strategy_id,n_questions,n_chunks,hit_rate@k,mrr@k,ndcg@k,must_phrase_coverage@k,config
chunk2000_ov0__bm25__K10,60,158,1.0,0.87,0.9036644892872492,1.0,"{'chunk_max_chars': 2000, 'chunk_overlap_chars': 0, 'retriever': 'bm25', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk2000_ov150__bm25__K10,60,171,1.0,0.8652777777777778,0.8805516957409476,1.0,"{'chunk_max_chars': 2000, 'chunk_overlap_chars': 150, 'retriever': 'bm25', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk2000_ov250__bm25__K10,60,181,1.0,0.857936507936508,0.8794260781341949,1.0,"{'chunk_max_chars': 2000, 'chunk_overlap_chars': 250, 'retriever': 'bm25', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk500_ov0__bm25__K10,60,453,1.0,0.8527777777777777,0.8910657717261977,1.0,"{'chunk_max_chars': 500, 'chunk_overlap_chars': 0, 'retriever': 'bm25', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk500_ov250__bm25__K10,60,453,1.0,0.8527777777777777,0.8910657717261977,1.0,"{'chunk_max_chars': 500, 'chunk_overlap_chars': 250, 'retriever': 'bm25', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk900_ov0__bm25__K10,60,371,1.0,0.851388888888889,0.889910381027421,1.0,"{'chunk_max_chars': 900, 'chunk_overlap_chars': 0, 'retriever': 'bm25', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk900_ov150__bm25__K10,60,398,1.0,0.8513888888888889,0.8793296747881085,1.0,"{'chunk_max_chars': 900, 'chunk_overlap_chars': 150, 'retriever': 'bm25', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk900_ov250__bm25__K10,60,414,1.0,0.8409722222222222,0.8702846444988015,1.0,"{'chunk_max_chars': 900, 'chunk_overlap_chars': 250, 'retriever': 'bm25', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk500_ov150__bm25__K10,60,453,1.0,0.8347222222222221,0.8711824677271394,1.0,"{'chunk_max_chars': 500, 'chunk_overlap_chars': 150, 'retriever': 'bm25', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk1400_ov0__bm25__K10,60,253,1.0,0.825,0.8702157125232378,1.0,"{'chunk_max_chars': 1400, 'chunk_overlap_chars': 0, 'retriever': 'bm25', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk1400_ov150__bm25__K10,60,297,1.0,0.8055555555555555,0.8522495077452176,1.0,"{'chunk_max_chars': 1400, 'chunk_overlap_chars': 150, 'retriever': 'bm25', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk1400_ov250__bm25__K10,60,316,1.0,0.7993055555555555,0.8458711344925526,1.0,"{'chunk_max_chars': 1400, 'chunk_overlap_chars': 250, 'retriever': 'bm25', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk900_ov250__hybrid_a0.50__K10,60,414,1.0,0.7300198412698413,0.787095196239467,1.0,"{'chunk_max_chars': 900, 'chunk_overlap_chars': 250, 'retriever': 'hybrid', 'hybrid_alpha': 0.5, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk500_ov0__hybrid_a0.50__K10,60,453,0.9833333333333333,0.8371031746031746,0.8738252435704887,0.9966555183946488,"{'chunk_max_chars': 500, 'chunk_overlap_chars': 0, 'retriever': 'hybrid', 'hybrid_alpha': 0.5, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk500_ov250__hybrid_a0.50__K10,60,453,0.9833333333333333,0.8371031746031746,0.8738252435704887,0.9966555183946488,"{'chunk_max_chars': 500, 'chunk_overlap_chars': 250, 'retriever': 'hybrid', 'hybrid_alpha': 0.5, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk500_ov150__hybrid_a0.50__K10,60,453,0.9833333333333333,0.7475462962962962,0.8039869857661548,0.9966555183946488,"{'chunk_max_chars': 500, 'chunk_overlap_chars': 150, 'retriever': 'hybrid', 'hybrid_alpha': 0.5, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk1400_ov150__hybrid_a0.50__K10,60,297,0.9833333333333333,0.7112499999999999,0.7732265754489765,1.0,"{'chunk_max_chars': 1400, 'chunk_overlap_chars': 150, 'retriever': 'hybrid', 'hybrid_alpha': 0.5, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk900_ov0__hybrid_a0.50__K10,60,371,0.9833333333333333,0.7023809523809524,0.7728079321004173,0.9966555183946488,"{'chunk_max_chars': 900, 'chunk_overlap_chars': 0, 'retriever': 'hybrid', 'hybrid_alpha': 0.5, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk900_ov150__hybrid_a0.50__K10,60,398,0.9666666666666667,0.7502777777777777,0.7939437424488581,0.9899665551839465,"{'chunk_max_chars': 900, 'chunk_overlap_chars': 150, 'retriever': 'hybrid', 'hybrid_alpha': 0.5, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk500_ov0__hybrid_a0.65__K10,60,453,0.95,0.8041666666666667,0.841087525455409,0.9899665551839465,"{'chunk_max_chars': 500, 'chunk_overlap_chars': 0, 'retriever': 'hybrid', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk500_ov250__hybrid_a0.65__K10,60,453,0.95,0.8041666666666667,0.841087525455409,0.9899665551839465,"{'chunk_max_chars': 500, 'chunk_overlap_chars': 250, 'retriever': 'hybrid', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk900_ov250__hybrid_a0.65__K10,60,414,0.95,0.6962698412698413,0.7522287366539994,0.9899665551839465,"{'chunk_max_chars': 900, 'chunk_overlap_chars': 250, 'retriever': 'hybrid', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk1400_ov150__hybrid_a0.65__K10,60,297,0.95,0.6942063492063492,0.7433324649827504,0.9899665551839465,"{'chunk_max_chars': 1400, 'chunk_overlap_chars': 150, 'retriever': 'hybrid', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk900_ov0__hybrid_a0.65__K10,60,371,0.95,0.6911309523809523,0.7551489017150399,0.9899665551839465,"{'chunk_max_chars': 900, 'chunk_overlap_chars': 0, 'retriever': 'hybrid', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk500_ov0__hybrid_a0.80__K10,60,453,0.9333333333333333,0.7694444444444444,0.8109631265423474,0.9732441471571907,"{'chunk_max_chars': 500, 'chunk_overlap_chars': 0, 'retriever': 'hybrid', 'hybrid_alpha': 0.8, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk500_ov250__hybrid_a0.80__K10,60,453,0.9333333333333333,0.7694444444444444,0.8109631265423474,0.9732441471571907,"{'chunk_max_chars': 500, 'chunk_overlap_chars': 250, 'retriever': 'hybrid', 'hybrid_alpha': 0.8, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk500_ov150__hybrid_a0.65__K10,60,453,0.9333333333333333,0.7069444444444445,0.761867540216555,0.9832775919732442,"{'chunk_max_chars': 500, 'chunk_overlap_chars': 150, 'retriever': 'hybrid', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk900_ov150__hybrid_a0.65__K10,60,398,0.9333333333333333,0.6963888888888888,0.7446450587376954,0.9832775919732442,"{'chunk_max_chars': 900, 'chunk_overlap_chars': 150, 'retriever': 'hybrid', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk2000_ov0__hybrid_a0.50__K10,60,158,0.9333333333333333,0.6219841269841271,0.6998194742931506,0.9765886287625418,"{'chunk_max_chars': 2000, 'chunk_overlap_chars': 0, 'retriever': 'hybrid', 'hybrid_alpha': 0.5, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk500_ov0__dense__K10,60,453,0.9166666666666666,0.7223809523809523,0.7709984506476297,0.9698996655518395,"{'chunk_max_chars': 500, 'chunk_overlap_chars': 0, 'retriever': 'dense', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk500_ov250__dense__K10,60,453,0.9166666666666666,0.7223809523809523,0.7709984506476297,0.9698996655518395,"{'chunk_max_chars': 500, 'chunk_overlap_chars': 250, 'retriever': 'dense', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk500_ov150__hybrid_a0.80__K10,60,453,0.9166666666666666,0.6708333333333333,0.7336305914155827,0.9665551839464883,"{'chunk_max_chars': 500, 'chunk_overlap_chars': 150, 'retriever': 'hybrid', 'hybrid_alpha': 0.8, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk2000_ov250__hybrid_a0.50__K10,60,181,0.9166666666666666,0.6538888888888889,0.7111500971846536,0.9765886287625418,"{'chunk_max_chars': 2000, 'chunk_overlap_chars': 250, 'retriever': 'hybrid', 'hybrid_alpha': 0.5, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk1400_ov250__hybrid_a0.50__K10,60,316,0.9166666666666666,0.5980753968253969,0.6676350887819634,0.9933110367892977,"{'chunk_max_chars': 1400, 'chunk_overlap_chars': 250, 'retriever': 'hybrid', 'hybrid_alpha': 0.5, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk2000_ov250__hybrid_a0.65__K10,60,181,0.9166666666666666,0.5781150793650794,0.6535612317512567,0.9765886287625418,"{'chunk_max_chars': 2000, 'chunk_overlap_chars': 250, 'retriever': 'hybrid', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk2000_ov0__hybrid_a0.65__K10,60,158,0.9166666666666666,0.5522420634920635,0.6419654577202297,0.9732441471571907,"{'chunk_max_chars': 2000, 'chunk_overlap_chars': 0, 'retriever': 'hybrid', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk900_ov150__hybrid_a0.80__K10,60,398,0.9,0.6675,0.7107003424285633,0.9765886287625418,"{'chunk_max_chars': 900, 'chunk_overlap_chars': 150, 'retriever': 'hybrid', 'hybrid_alpha': 0.8, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk900_ov0__hybrid_a0.80__K10,60,371,0.9,0.6618253968253968,0.7213471404057888,0.9698996655518395,"{'chunk_max_chars': 900, 'chunk_overlap_chars': 0, 'retriever': 'hybrid', 'hybrid_alpha': 0.8, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk1400_ov0__hybrid_a0.50__K10,60,253,0.9,0.660899470899471,0.719946438159645,0.979933110367893,"{'chunk_max_chars': 1400, 'chunk_overlap_chars': 0, 'retriever': 'hybrid', 'hybrid_alpha': 0.5, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk900_ov250__hybrid_a0.80__K10,60,414,0.9,0.6574537037037037,0.7123911664022269,0.9698996655518395,"{'chunk_max_chars': 900, 'chunk_overlap_chars': 250, 'retriever': 'hybrid', 'hybrid_alpha': 0.8, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk1400_ov150__hybrid_a0.80__K10,60,297,0.9,0.6456150793650793,0.6980891250855386,0.9765886287625418,"{'chunk_max_chars': 1400, 'chunk_overlap_chars': 150, 'retriever': 'hybrid', 'hybrid_alpha': 0.8, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk900_ov150__dense__K10,60,398,0.9,0.6304034391534391,0.6851874897922201,0.9732441471571907,"{'chunk_max_chars': 900, 'chunk_overlap_chars': 150, 'retriever': 'dense', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk500_ov150__dense__K10,60,453,0.9,0.6279365079365079,0.6892212350900301,0.9632107023411371,"{'chunk_max_chars': 500, 'chunk_overlap_chars': 150, 'retriever': 'dense', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk1400_ov250__hybrid_a0.65__K10,60,316,0.9,0.5361111111111111,0.6216100944747921,0.9665551839464883,"{'chunk_max_chars': 1400, 'chunk_overlap_chars': 250, 'retriever': 'hybrid', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk2000_ov150__hybrid_a0.50__K10,60,171,0.8833333333333333,0.5578703703703703,0.6322325518792441,0.9632107023411371,"{'chunk_max_chars': 2000, 'chunk_overlap_chars': 150, 'retriever': 'hybrid', 'hybrid_alpha': 0.5, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk900_ov0__dense__K10,60,371,0.8666666666666667,0.605138888888889,0.669668846573289,0.9565217391304348,"{'chunk_max_chars': 900, 'chunk_overlap_chars': 0, 'retriever': 'dense', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk2000_ov150__hybrid_a0.65__K10,60,171,0.8666666666666667,0.5387169312169313,0.603708845706914,0.9565217391304348,"{'chunk_max_chars': 2000, 'chunk_overlap_chars': 150, 'retriever': 'hybrid', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk1400_ov250__hybrid_a0.80__K10,60,316,0.8666666666666667,0.49994708994709,0.584161686400766,0.959866220735786,"{'chunk_max_chars': 1400, 'chunk_overlap_chars': 250, 'retriever': 'hybrid', 'hybrid_alpha': 0.8, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk1400_ov0__hybrid_a0.65__K10,60,253,0.85,0.6182407407407408,0.6754520679689513,0.9765886287625418,"{'chunk_max_chars': 1400, 'chunk_overlap_chars': 0, 'retriever': 'hybrid', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk1400_ov150__dense__K10,60,297,0.85,0.5857142857142856,0.6383736465935559,0.9565217391304348,"{'chunk_max_chars': 1400, 'chunk_overlap_chars': 150, 'retriever': 'dense', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk900_ov250__dense__K10,60,414,0.8333333333333334,0.5778240740740741,0.6318946246317574,0.9464882943143813,"{'chunk_max_chars': 900, 'chunk_overlap_chars': 250, 'retriever': 'dense', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk2000_ov0__hybrid_a0.80__K10,60,158,0.8333333333333334,0.4862698412698413,0.5711014932925322,0.9531772575250836,"{'chunk_max_chars': 2000, 'chunk_overlap_chars': 0, 'retriever': 'hybrid', 'hybrid_alpha': 0.8, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk1400_ov0__hybrid_a0.80__K10,60,253,0.8166666666666667,0.5672685185185186,0.6280103910186384,0.9698996655518395,"{'chunk_max_chars': 1400, 'chunk_overlap_chars': 0, 'retriever': 'hybrid', 'hybrid_alpha': 0.8, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk2000_ov150__hybrid_a0.80__K10,60,171,0.8,0.47503968253968254,0.5505060389889446,0.9230769230769231,"{'chunk_max_chars': 2000, 'chunk_overlap_chars': 150, 'retriever': 'hybrid', 'hybrid_alpha': 0.8, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk2000_ov250__hybrid_a0.80__K10,60,181,0.8,0.4634126984126984,0.5393544266793078,0.9331103678929766,"{'chunk_max_chars': 2000, 'chunk_overlap_chars': 250, 'retriever': 'hybrid', 'hybrid_alpha': 0.8, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk1400_ov0__dense__K10,60,253,0.75,0.5086309523809524,0.5673028882396225,0.9464882943143813,"{'chunk_max_chars': 1400, 'chunk_overlap_chars': 0, 'retriever': 'dense', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk1400_ov250__dense__K10,60,316,0.75,0.42135582010582,0.4991303802707549,0.919732441471572,"{'chunk_max_chars': 1400, 'chunk_overlap_chars': 250, 'retriever': 'dense', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk2000_ov0__dense__K10,60,158,0.7166666666666667,0.4236309523809524,0.49599940705041295,0.9063545150501672,"{'chunk_max_chars': 2000, 'chunk_overlap_chars': 0, 'retriever': 'dense', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk2000_ov150__dense__K10,60,171,0.7,0.41344576719576714,0.486306446824168,0.8762541806020067,"{'chunk_max_chars': 2000, 'chunk_overlap_chars': 150, 'retriever': 'dense', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk2000_ov250__dense__K10,60,181,0.6833333333333333,0.3775661375661376,0.4486692112565715,0.8695652173913043,"{'chunk_max_chars': 2000, 'chunk_overlap_chars': 250, 'retriever': 'dense', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
